Cancer,World,Total Coverage %
Brain,World,97.72
Breast,World,99.67
Cervix,World,93.09
Head and Neck,World,99.45
Kidney,World,99.59
Liver,World,99.49
Ovary,World,99.77
Pancreas,World,86.93
Thyroid,World,98.42
Uterus,World,99.77
